run_id,seq_idx,wtime,pss_kb,label,anomaly_type,recon_error,pred,flag_type
anomaly_mem_spike,81,180.0,1173055.0,1,mem_spike,108.42304229736328,1,TP
anomaly_thread_spike,0,18.0,1327.0,1,thread_spike,2668.479248046875,1,TP
anomaly_thread_spike,1,20.0,1327.0,1,thread_spike,3578.80810546875,1,TP
anomaly_thread_spike,2,22.0,1327.0,1,thread_spike,4668.3984375,1,TP
anomaly_thread_spike,3,24.0,1327.0,1,thread_spike,5928.11474609375,1,TP
anomaly_thread_spike,4,26.0,1327.0,1,thread_spike,7388.78369140625,1,TP
anomaly_thread_spike,5,28.0,1327.0,1,thread_spike,9022.94921875,1,TP
anomaly_thread_spike,6,30.0,1327.0,1,thread_spike,10861.6953125,1,TP
anomaly_thread_spike,7,32.0,1327.0,1,thread_spike,12884.2041015625,1,TP
anomaly_thread_spike,8,34.0,1327.0,1,thread_spike,15075.6474609375,1,TP
anomaly_thread_spike,9,36.0,1327.0,1,thread_spike,17477.46484375,1,TP
anomaly_thread_spike,10,38.0,1327.0,1,thread_spike,20060.203125,1,TP
anomaly_thread_spike,11,40.0,1327.0,1,thread_spike,22806.671875,1,TP
anomaly_thread_spike,12,42.0,1328.0,1,thread_spike,25768.75390625,1,TP
anomaly_thread_spike,13,44.0,1327.0,1,thread_spike,28918.634765625,1,TP
anomaly_thread_spike,14,46.0,1327.0,1,thread_spike,32214.369140625,1,TP
anomaly_thread_spike,15,48.0,1327.0,1,thread_spike,35730.8984375,1,TP
anomaly_thread_spike,16,50.0,1327.0,1,thread_spike,39402.4453125,1,TP
anomaly_thread_spike,17,52.0,1327.0,1,thread_spike,43298.32421875,1,TP
anomaly_thread_spike,18,54.0,1327.0,1,thread_spike,47359.515625,1,TP
anomaly_thread_spike,19,56.0,1327.0,1,thread_spike,51569.9453125,1,TP
anomaly_thread_spike,20,58.0,1327.0,1,thread_spike,56009.31640625,1,TP
anomaly_thread_spike,21,60.0,1327.0,1,thread_spike,60611.72265625,1,TP
anomaly_thread_spike,22,62.0,1327.0,1,thread_spike,65429.2734375,1,TP
anomaly_thread_spike,23,64.0,1327.0,1,thread_spike,70408.6796875,1,TP
anomaly_thread_spike,24,66.0,1327.0,1,thread_spike,75581.1484375,1,TP
anomaly_thread_spike,25,68.0,1327.0,1,thread_spike,80951.453125,1,TP
anomaly_thread_spike,26,70.0,1327.0,1,thread_spike,86481.8671875,1,TP
anomaly_thread_spike,27,72.0,1327.0,1,thread_spike,92146.9765625,1,TP
anomaly_thread_spike,28,74.0,1327.0,1,thread_spike,98070.015625,1,TP
anomaly_thread_spike,29,76.0,1327.0,1,thread_spike,104173.421875,1,TP
anomaly_thread_spike,30,78.0,1327.0,1,thread_spike,110474.640625,1,TP
anomaly_thread_spike,31,80.0,1327.0,1,thread_spike,116973.5625,1,TP
anomaly_thread_spike,32,82.0,1327.0,1,thread_spike,123557.96875,1,TP
anomaly_thread_spike,33,84.0,1327.0,1,thread_spike,130411.921875,1,TP
anomaly_thread_spike,34,86.0,1327.0,1,thread_spike,137446.25,1,TP
anomaly_thread_spike,35,88.0,1327.0,1,thread_spike,144601.921875,1,TP
anomaly_thread_spike,36,90.0,1327.0,1,thread_spike,152034.671875,1,TP
anomaly_thread_spike,37,92.0,1322.0,1,thread_spike,159621.71875,1,TP
anomaly_thread_spike,38,94.0,1321.0,1,thread_spike,167324.9375,1,TP
anomaly_thread_spike,39,96.0,1327.0,1,thread_spike,175290.171875,1,TP
anomaly_thread_spike,40,98.0,1327.0,1,thread_spike,183368.03125,1,TP
anomaly_thread_spike,41,100.0,1327.0,1,thread_spike,191711.453125,1,TP
anomaly_thread_spike,42,102.0,1327.0,1,thread_spike,200258.9375,1,TP
anomaly_thread_spike,43,104.0,1327.0,1,thread_spike,208914.46875,1,TP
